Tên văn phòng đại diện,Ngày cấp,Ngày hết hạn,Quốc gia,Điện thoại VPDD,Địa chỉ,Tên trưởng đại diện,Quốc tịch,Số giấy phép,Ngày cấp phép,Ngày giấy phép hết hạn,Lĩnh vực hoạt động,Tên công ty mẹ,Địa chỉ van phong chinh,Điện thoại VPDD Chinh,Năm thành lập,Nơi ĐKTL,"Bang, Tỉnh, TP",Vốn điều lệ
LINE PLUS CORPORATION,2018-11-13 16:35:34.712,2023-11-12 00:00:00.0,Hàn Quốc,,"2604-05 &amp; 2606, , Saigon Trade Centre, tầng 26, 37, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lee Sun Woo,Hàn Quốc,"79-05273-01
Sản xuất",2018-11-13 16:35:34.712,2023-11-12 00:00:00.0,"Sản xuất : Phần cứng máy tính,",LINE Plus Corporation,"(AK Plaza Bundang Branch 11F., Seohyeon-dong) 42, Hwangsaeul-ro, 360beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, Korea",82-31-784-4157,0,Hàn Quốc,,100.000.000 USD
SUNSOURCE ENERGY PRIVATE LIMITED,2018-11-13 11:00:54.292,2023-11-15 00:00:00.0,Ấn Độ,,"Nhà thi đấu Quân khu 7, tầng 1, 202 , Hoàng Văn Thụ, phường 9, quận Phú Nhuận, thành phố Hồ Chí Minh, Việt Nam",DEEPAK KHETARPAL,Ấn Độ,"79-05271-01
Thương mại",2018-11-13 11:00:54.292,2023-11-15 00:00:00.0,"Thương mại : Công nghệ môi trường,",Sunsource Energy Private Limited,"B-53, Sector 37 PO11, Greater Noida - 201303, Uttar Pradesh, India",91 8130033213,0,Ấn Độ,,0 USD
MYKOON,2018-11-08 15:20:08.052,2023-11-08 00:00:00.0,Việt Nam,,"1201, Dreamplex, 12, 195, Điện Biên Phủ, phường 15, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Bùi Thị Phương Nga,Việt Nam,"79-05270-01
Gia công",2018-11-08 15:20:08.052,2023-11-08 00:00:00.0,"Gia công : Thiết bị viễn thông,",MYKOON,"1506 Ho, 408, Gangnam-daero, Gangnam-gu, Seoul, Korea",,0,Hàn Quốc,,0 USD
FLENDER PTE. LTD.,2018-11-08 10:50:00.996,2023-11-08 00:00:00.0,Việt Nam,,"55, Saigon Center, 14, Tháp 1, The Executive Centre, , 65, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Bùi Đình Hùng,Việt Nam,"79-05269-01
Thương mại",2018-11-08 10:50:00.996,2023-11-08 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Flender Pte. Ltd.,"60 Macpherson Road, #03-00, The Siemens Centre, Singapore (348615)",6564906080,0,Singapore,,0 USD
"LIKES CO., LTD.",2018-11-06 15:37:20.913,2023-11-06 00:00:00.0,Nhật Bản,,"D10, Khu văn phòng SENoffice, L18-11-13, Vincom Center Đồng Khởi , 18, 72, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Yuji Ikeda,Nhật Bản,"79-05266-01
Xây dựng",2018-11-06 15:37:20.913,2023-11-06 00:00:00.0,"Xây dựng : Xây dựng công trình,","Likes Co., Ltd.","1-4-7, Shiba, Minato-ku, Tokyo, Nhật Bản",0081354271920,0,Nhật Bản,,0 USD
"HANGZHOU GLOBAL LINK INTERNATIONAL FREIGHT FORWARDER CO., LTD.",2018-11-07 15:55:59.769,2022-12-12 00:00:00.0,Trung Quốc,,"Hà Phan, 2, 1119, phường 5, quận 5, thành phố Hồ Chí Minh, Việt Nam","SHEN, SI",Trung Quốc,"79-05268-01
Dịch vụ",2018-11-07 15:55:59.769,2022-12-12 00:00:00.0,"Dịch vụ : Giao nhận, vận tải dường hàng không,","Hangzhou Global Link International Freight Forwarder Co., Ltd.","Room 800, No.511, Yan'an Road, Xiacheng District, Hangzhou City, China",0571.8785357,0,Trung Quốc,,0 USD
REMINGTON PHARMACEUTICAL INDUSTRIES (PRIVATE) LIMITED,2018-11-07 10:11:47.547,2023-11-07 00:00:00.0,Pakistan,,"4/5, Đường số 5, phường Bình Hưng Hòa, quận Bình Tân, thành phố Hồ Chí Minh, Việt Nam",Azam Shahid Jafri,Pakistan,"79-05267-01
Thương mại",2018-11-07 10:11:47.547,2023-11-07 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Remington Pharmaceutical Industries (Private) Limited,"18-KM Multan Road, Lahore, Punjab, Pakistan",91-42--35450842,0,Pakistan,,0 USD
"NANJING AGROCHEMICAL CO., LTD.",2018-11-05 10:18:05.323,2023-07-03 00:00:00.0,Trung Quốc,,"8, 100, Phường 06, quận 3, thành phố Hồ Chí Minh, Việt Nam",Hu Liucheng,Trung Quốc,"79-05264-01
Thương mại",2018-11-05 10:18:05.323,2023-07-03 00:00:00.0,"Thương mại : Hóa chất,","Nanjing Agrochemical Co., Ltd.","11 - Zitanyaju, 126 Mengdu Street, Nanjing, JiangSu Province, China, P.C. 210019",00862586520571,0,Trung Quốc,,0 USD
MONI - MEDIA LIMITED,2018-11-06 10:57:20.249,2019-03-02 00:00:00.0,Cộng Hòa Pháp,,"7.4, Tất Minh Building,, 7, 249 , đường Cộng Hòa, phường 13, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",DAVID ALEXANDRE FRANCOIS,Cộng Hòa Pháp,"79-05265-01
Dịch vụ",2018-11-06 10:57:20.249,2019-03-02 00:00:00.0,"Dịch vụ : Dịch vụ điện toán, Internet,",Moni - Media Limited,"Unit 305 3/F Innocentre, 72 Tat Chee Avenue, Kowloon Tong, KL, Hong Kong",852 31883682,0,Hồng Kông,,0 USD
"DONGKWANG PHARMACEUTICAL CO., LTD.",2018-11-05 09:08:15.296,2023-11-05 00:00:00.0,Việt Nam,,"một phần tầng 8, NN1, Bạch Mã, phường 15, quận 10, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Ngọc Diễm Huyền,Việt Nam,"79-05263-01
Thương mại",2018-11-05 09:08:15.296,2023-11-05 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,","Dongkwang Pharmaceutical Co., Ltd.","12, 97 Toegye-ro, Jung-gu, Seoul, (Chungmu-ro 1-ga, Koreadaeyeongak Center Building, 12), Republic of Korea",82-2-776-7641 (150),0,Hàn Quốc,Seoul,0 USD
HIKVISION SINGAPORE PTE. LTD.,2018-11-02 14:57:07.099,2023-11-02 00:00:00.0,Trung Quốc,,"Lô L12A-07, Vincom Center, L12A, 72, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam","Zhang, Xiaoxing",Trung Quốc,"79-05262-01
Thương mại",2018-11-02 14:57:07.099,2023-11-02 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",HIKVision Singapore Pte. Ltd.,"100 Beach Road, #17-10/13, Shaw Towers, Singapore (189702),",6566844718,0,Singapore,,0 USD
"HONGO., CO. LTD",2018-10-30 13:58:19.445,2023-10-30 00:00:00.0,Việt Nam,,"52-54, Nguyễn Thị Minh Khai, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Trương Hoàng Sơn,Việt Nam,"79-05261-01
Thương mại",2018-10-30 13:58:19.445,2023-10-30 00:00:00.0,"Thương mại : Mỹ phẩm,","Hongo., Co. Ltd","5F, Kimura Building, 3-39-3 Hongo, Bunkyo-ku, Tokyo-to, Japan",810385408437,0,Nhật Bản,Tokyo,0 USD
BIOKHIMIK JOINT STOCK COMPANY,2018-10-29 15:34:27.646,2023-10-29 00:00:00.0,Nga,,"02 , phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Davydov Igor,Nga,"79-05260-01
Thương mại",2018-10-29 15:34:27.646,2023-10-29 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Biokhimik Joint Stock Company,"430030, Russia, Republic of Mordovia, Saransk, Ul.Vasyenko 15a.",,0,Nga,,0 USD
"M3 DOCTOR SUPPORT, INC.",2018-10-25 12:48:08.249,2023-10-25 00:00:00.0,Nhật Bản,,"#33, 21, 5, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Muroi Masumi,Nhật Bản,"79-05259-01
Thương mại",2018-10-25 12:48:08.249,2023-10-25 00:00:00.0,"Thương mại : Máy móc, trang thiết bị y khoa,","M3 Doctor Support, Inc.","1-11-44, Akasaka, Minato ku, Tokyo, Japan",810358355180,0,Nhật Bản,,0 USD
SHIZUPACK LTD,2018-10-22 15:02:56.018,2023-10-22 00:00:00.0,Việt Nam,,"Khu vực L18-11-13, Vincom Center Đồng Khởi, 18, 72, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Trần Hà Thảo Ly,Việt Nam,"79-05258-01
Thương mại",2018-10-22 15:02:56.018,2023-10-22 00:00:00.0,"Thương mại : Nông sản,",Shizupack Ltd,"713 Nakahara, Suruga-ku, Shizuoka-shi, Nhật Bản",810542819092,0,Nhật Bản,,0 USD
IPCO SOUTH EAST ASIA PTE. LTD.,2018-10-20 14:31:41.01,2023-10-22 00:00:00.0,Việt Nam,,"HM Town, 14, 412, Nguyễn Thị Minh Khai, phường 5, quận 3, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Đỗ Thái Bình,Việt Nam,"79-05256-01
Thương mại",2018-10-20 14:31:41.01,2023-10-22 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Ipco South East Asia Pte. Ltd.,"50 Alps Avenue, #04-00, Sandvik Building, Singapore (498782)",,0,Singapore,,0 USD
GENETRON SINGAPORE PTE. LTD.,2018-10-22 11:06:09.013,2023-10-22 00:00:00.0,Singapore,,"85, Hoàng Sa, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lim Tse Wei (Lin Zhiwei),Singapore,"79-05257-01
Thương mại",2018-10-22 11:06:09.013,2023-10-22 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Genetron Singapore Pte. Ltd.,"178 Paya Lebar Road ## 04-06 Paya Lebar 178, Singapore (409030)",,0,Singapore,,0 USD
"ORIENTAL CONSULTANTS GLOBAL CO., LTD.",2018-10-17 10:39:13.353,2023-10-17 00:00:00.0,Nhật Bản,,"Văn phòng Thiên Sơn, 6, 5, Nguyễn Gia Thiều, phường 6, quận 3, thành phố Hồ Chí Minh, Việt Nam",Hitoshi Yahagi,Nhật Bản,"79-05255-01
Xây dựng",2018-10-17 10:39:13.353,2023-10-17 00:00:00.0,"Xây dựng : Xây dựng dân dụng, nhà ở,","Oriental Consultants Global Co., Ltd.","20-2, Nishishinjuku 3-chome, Shinjuku-ku, Tokyo, Japan",81363117570,0,Nhật Bản,Tokyo,0 USD
KATANI COMPANY LIMITED,2018-10-16 15:32:08.646,2023-10-16 00:00:00.0,Việt Nam,,"Tầng 3, Khu A, Tòa nhà Indochina Park Tower, số 4 , Nguyễn Đình Chiểu, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Đình Huy,Việt Nam,"79-05254-01
Dịch vụ",2018-10-16 15:32:08.646,2023-10-16 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",Katani Company Limited,"33 Shimoshin cho, Kanazawa shi, Ishikawa ken, Japan",076263-6111,0,Nhật Bản,,0 USD
"ECOSMARTGLOBAL CO., LTD.",2018-10-15 12:44:42.171,2023-10-15 00:00:00.0,Hàn Quốc,,"8, Nam Viên (Lô S2), Nội Khu 1, phường Tân Phú, quận 7, thành phố Hồ Chí Minh, Việt Nam",Han Mijin,Hàn Quốc,"79-05253-01
Xây dựng",2018-10-15 12:44:42.171,2023-10-15 00:00:00.0,"Xây dựng : Xây dựng dân dụng, nhà ở,","Ecosmartglobal Co., Ltd.","Ungi-Building, 6F, 416, Nonhyeon-ro, Gangnam-gu, Seoul, Korea",02-3011-6556,0,Hàn Quốc,Seoul,0 USD
ATRA PHARMACEUTICALS LTD.,2018-10-10 11:04:33.952,2023-10-10 00:00:00.0,Việt Nam,,"Lầu 2, 94-96 Nguyễn Văn Kỉnh, , phường Thạnh Mỹ Lợi, quận 2, thành phố Hồ Chí Minh, Việt Nam",Đoàn Việt Phi,Việt Nam,"79-05250-01
Thương mại",2018-10-10 11:04:33.952,2023-10-10 00:00:00.0,"Thương mại : Dược phẩm, thuốc tây,",Atra Pharmaceuticals Ltd.,"H19-, MIDC, Waluj, Aurangabad-431133, District-Aurangabad, Maharashtra, India",,0,Ấn Độ,,0 USD
"VĂN PHÒNG ĐẠI DIỆN INTERNATIONAL PROJECT CONSULTING GROUP, INC. TẠI THÀNH PHỐ HỒ CHÍ MINH.",2018-10-11 11:21:01.138,2023-10-11 00:00:00.0,Mỹ,,"21-58, Saigon Centre 2, 67, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Scott Charles Thompson,Mỹ,"79-05251-01
Dịch vụ",2018-10-11 11:21:01.138,2023-10-11 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,","International Project Consulting Group, Inc.","1 World Trade Center, Suite 1130, Long Beach, CA 90831, United State of America",5622952928,0,Hoa Kỳ,,0 USD
"INTERNATIONAL MARITIME CONSULTANCY SERVICES, S.A.",2018-10-11 12:23:34.909,2023-10-11 00:00:00.0,Việt Nam,,"P.82C, 6, Phùng Khắc Khoan, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Phan Thị Kim Oanh,Việt Nam,"79-05252-01
Dịch vụ",2018-10-11 12:23:34.909,2023-10-11 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,","International Maritime Consultancy Services, S.A.","Apartamento 6, Edificio HH, Calle Principal, Urbanización Herbruger, Bella Vista, distrito de Panama, provincia de Panama, Panama",5073917939,0,Panama,,0 USD
"HUSTEEL CO., LTD",2018-10-10 08:47:57.955,2023-10-09 00:00:00.0,Hàn Quốc,,"Tầng 6, 2 Bis 4-6 , phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",KOO JA YONG,Hàn Quốc,"79-05249-01
Thương mại",2018-10-10 08:47:57.955,2023-10-09 00:00:00.0,"Thương mại : Sắt, thép,","Husteel Co., Ltd","512, Teheran - ro, Gangnam, Seoul, Korea",,0,Hàn Quốc,,0 USD
MCCAIN INTERNATIONAL INC.,2018-10-09 09:28:28.699,2023-10-09 00:00:00.0,Việt Nam,,"721-1Register02, Mê Linh Point Tower, 7, 2, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Phan Đăng Mạnh,Việt Nam,"79-05248-01
Thương mại",2018-10-09 09:28:28.699,2023-10-09 00:00:00.0,"Thương mại : Thực phẩm,",McCain International Inc.,"Unit 3, 8734 Main Street, Florenceville-Bristol, New Brunswick, Canada, E7L 3G6",5063922806,0,Canada,,0 USD
"TASSEI CO., LTD",2018-10-04 16:17:10.433,2023-10-04 00:00:00.0,Việt Nam,,"209/94/1, Tôn Thất Thuyết, phường 3, quận 4, thành phố Hồ Chí Minh, Việt Nam",Đỗ Nguyễn Hoài Bảo,Việt Nam,"79-05247-01
Thương mại",2018-10-04 16:17:10.433,2023-10-04 00:00:00.0,"Thương mại : Xe ôtô,","Tassei Co., Ltd","8-1-22 Minamihon-machi, Yao-shi, Osaka, Nhật Bản",072 931 6111,0,Nhật Bản,,0 USD
HILLSDALE FURNITURE LLC,2018-10-03 10:40:37.109,2023-10-03 00:00:00.0,Malaysia,,"717-1register06, Mê Linh Point, 6 &amp; 7, 2, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Tan Soo Chern,Malaysia,"79-05245-01
Thương mại",2018-10-03 10:40:37.109,2023-10-03 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",Hillsdale Furniture LLC,"Số 615 South DuPont Highway, in the City of Dover, in the Country of Kent, 19901, USA",502-562-0000,0,Hoa Kỳ,,0 USD
INA JAPAN,2018-10-02 09:52:27.321,2023-10-02 00:00:00.0,Nhật Bản,,"Tầng trệt + lửng + lầu 1, 67/10, Phạm Viết Chánh, phường 19, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Ginoza Yasuya,Nhật Bản,"79-05243-01
Thương mại",2018-10-02 09:52:27.321,2023-10-02 00:00:00.0,"Thương mại : Thức ăn gia súc,",INA JAPAN,"760-602 Minamiuebaru, Nakagusuku, Nakagami, Okinawa, Japan",,0,Nhật Bản,,0 USD
NORDIC FURNITURE GROUP A/S,2018-10-04 09:56:18.184,2023-10-04 00:00:00.0,Việt Nam,,"trệt, 109, phường An Phú, quận 2, thành phố Hồ Chí Minh, Việt Nam",Trần Công Công Lý,Việt Nam,"79-05246-01
Thương mại",2018-10-04 09:56:18.184,2023-10-04 00:00:00.0,"Thương mại : Đồ nội thất, ngoại thất,",Nordic Furniture Group A/S,"Markvangen 23, 2820 Gentofte, Denmark",4570262646,0,Đan Mạch,,0 USD
JOYO TECHNOLOGY PTE. LTD.,2018-10-03 09:51:48.043,2023-10-03 00:00:00.0,Trung Quốc,,"1201-1202, Dreamplex 195, 195, đường Điện Biên Phủ, phường 15, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Yin Xin,Trung Quốc,"79-05244-01
Dịch vụ",2018-10-03 09:51:48.043,2023-10-03 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",Joyo Technology Pte. Ltd.,"60 Paya Lebar Road, #08-43, Paya Lebar Square, Singapore (409051)",,0,Singapore,,0 USD
"YO-HI CO., LTD",2018-10-01 14:42:24.075,2023-10-01 00:00:00.0,Taiwan,,"40 Đường 11A,, phường Bình Trị Đông B, quận Bình Tân, thành phố Hồ Chí Minh, Việt Nam","Chen, Lin Mei Yao",Taiwan,"79-05242-01
Thương mại",2018-10-01 14:42:24.075,2023-10-01 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,","Yo-Hi Co., Ltd","No. 13 Lane 201, Part 3, SanMin street, JinHe Ward, Bei Area, Taichung City, Taiwan",04 5676438,0,Taiwan,,0 USD
MIURA SINGAPORE C PTE. LTD.,2018-10-01 14:41:44.975,2023-10-01 00:00:00.0,Nhật Bản,,"S.18, Saigon Trade Center, 31, 37, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",MURAKAMI KEIICHI,Nhật Bản,"79-05241-01
Thương mại",2018-10-01 14:41:44.975,2023-10-01 00:00:00.0,"Thương mại : Máy móc, thiết bị nông nghiệp,",Miura Singapore Co Pte. Ltd.,"3 Soon Lee Street, #03-36 Pioneer Junction, Singapore (627606)",6598506707,0,Singapore,,0 USD
LIEBHERR-MCCTEC ROSTOCK GMBH,2018-09-27 13:48:58.274,2023-09-27 00:00:00.0,Việt Nam,,"37 (số cũ 47-49), Trần Quốc Hoàn, phường 4, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Đàm Anh Nhi,Việt Nam,"79-05240-01
Thương mại",2018-09-27 13:48:58.274,2023-09-27 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Liebherr-MCCtec Rostock GmbH,"Liebherrstraße 1, 18147 Rostock, Germany",4938160060,0,Đức,,0 USD
EMUGE - “FRANKEN” - BETEILIGUNGEN GMBH,2018-09-27 13:28:42.873,2023-09-27 00:00:00.0,Việt Nam,,"36 , Đường A4, phường 12, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Vũ Thành Đông,Việt Nam,"79-05239-01
Thương mại",2018-09-27 13:28:42.873,2023-09-27 00:00:00.0,"Thương mại : Máy móc, thiết bị công nghiệp,",Emuge - “Franken” - Beteiligungen GmbH,"Nürnberger Str. 100, 91207 Lauf a.d.Pegnitz, Germany",,0,Đức,,0 USD
CPL GROUP PUBLIC COMPANY LIMITED,2018-09-25 15:01:35.36,2023-09-25 00:00:00.0,Việt Nam,,"1554A, Võ Văn Kiệt, phường 7, quận 6, thành phố Hồ Chí Minh, Việt Nam",Quang Chi Loan,Việt Nam,"79-05238-01
Thương mại",2018-09-25 15:01:35.36,2023-09-25 00:00:00.0,"Thương mại : Da giày,",CPL Group Public Company Limited,"No. 700, Village No. 6, Sukhumvit Road, Bang Pu Mai Sub-district, Mueang Samut Prakan District, Samut Prakan Province, Thailand",6627095633-8,0,Thái Lan,,0 USD
SUZUYO SHOJI COMPANY LIMITED,2018-09-24 09:21:04.298,,Nhật Bản,,"11, 180 - 192, Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, thành phố Hồ Chí Minh, Việt Nam",Yusuke Ochiai,Nhật Bản,"79-05237-01
Thương mại",2018-09-24 09:21:04.298,,"Thương mại : Thiết bị văn phòng,",Suzuyo Shoji Company Limited,"1-11 Irifunecho, Shimizu-ku, Shizuoka-shi, Shizuoka, Japan",,0,Nhật Bản,,0 USD
JOINT SUPPORT CORPORATION,2018-09-24 08:52:59.905,2023-09-24 00:00:00.0,Nhật Bản,,"Vietcomreal, 9, 68, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Hirokazu Yonehara,Nhật Bản,"79-05236-01
Dịch vụ",2018-09-24 08:52:59.905,2023-09-24 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",Joint Support Corporation,"2-10-11 Fukushima, Fukushima - ku, Osaka - shi, Japan",81666269852,0,Nhật Bản,,0 USD
